Case Name,Filing Year,Description,Case Categories,Principal Laws
Sierra Club v. Clinton,2009,"Challenge to cross-border pipeline that would bring oil from Canadian tar sands to the U.S.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Natural Resources Defense Council v. United States Department of State,2008,"Challenge to planned pipeline that would carry oil from Canadian tar sands to U.S.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Conservation Northwest v. Rey,2008,Challenge to Forest Service’s adoption of EIS concerning forest management plan.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
In re Black Mesa Complex Permit Revision,2009,Challenge to Forest Service’s adoption of EIS concerning forest management plan.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Natural Resources Defense Council v. United States Army Corps of Engineers,2009,"Challenge to coal-to-liquid fuel plant.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Clean Water Act (CWA)
Western Watersheds Project v. United States Forest Service,2009,Challenge to federal authorization of grazing on certain federal lands.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Natural Resources Defense Council v. United States Bureau of Land Management,2010,"Challenge to BLM’s authorization of oil and gas development on federal land.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
"North Carolina Alliance for Transportation Reform, Inc. v. United States Department of Transportation",2008,"Challenge to federally funded highway project, including on grounds that it did not evaluate greenhouse gas impacts.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Sierra Club v. Federal Highway Administration,2009,"Challenge to construction of highway in northwest Houston.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Shenandoah Valley Network v. Capka,2007,"Challenge to the Federal Highway Administration’s issuance of record of decision regarding highway improvement study.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
WildEarth Guardians v. Jewell,2010,"Challenge to government decision to put coal leases in Wyoming’s Powder River Basin up for sale.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Southern Utah Wilderness Alliance v. United States Department of the Interior,2010,"Challenge to authorization by BLM to open 4.5 million acres of public lands in Utah to oil and gas development.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Montana Environmental Information Center v. United States Bureau of Land Management,2011,Action challenging federal approvals for oil and gas leasing on federal lands in Montana.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Western Watersheds Project v. Bureau of Land Management,2011,"Challenge to wind energy facility on grounds that EIS was required.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
WildEarth Guardians v. Salazar,2011,Challenge to leasing plan in Powder River Basin.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
League of Wilderness Defenders v. Martin,2010,"Challenge to timber sale in national forest, including on grounds that EA did not take into account climate change.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
"Hillsdale Environmental Loss Prevention, Inc. v. United States Army Corps of Engineers",2010,"Challenge to permit allowing the construction of rail yard.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Town of Babylon v. Federal Housing Finance Agency,2010,"Challenge to FHFA’s actions concerning PACE programs.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Earth Island Institute v. Gibson,2011,"Challenge to government project to remove trees from forest for failure to address climate change.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
In re Russell City Energy Center LLC,2010,Challenge to first-ever Clean Air Act pre-construction permit issued with limits on greenhouse gas emissions.,Federal Statutory Claims>Clean Air Act,Clean Air Act (CAA)
Barnes v. United States Department of Transportation,2010,"Challenge to order relieving agency of obligation to prepare EIS for proposed airport.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Center for Biological Diversity v. U.S. Department of State,2011,Challenge to oil sands pipeline on grounds that EIS is required under NEPA.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Save Strawberry Canyon v. U.S. Department of Energy,2011,"Challenge to “supercomputer” project, including on grounds that it failed to look at direct and indirect greenhouse gas emissions.

",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
WildEarth Guardians v. United States Bureau of Land Management,2011,"Challenge to coal mining on 2,000 acres of federal grassland in Wyoming.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Center for Biological Diversity v. Bureau of Land Management,2011,"Challenge to federal government leasing of public land for oil and gas development.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Northern Plains Resource Council v. Surface Transportation Board,1997,"Challenge to approval of application to build 130-mile rail line in Montana to haul coal.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Diné Citizens Against Ruining Our Environment v. United States Office of Surface Mining Reclamation and Enforcement,2012,"Challenge to mine expansion permit.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Black Mesa Water Coalition v. Salazar,2011,"Challenge to surface mining permit on grounds that approval violated NEPA.

",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Coalition for a Sustainable 520 v. United States Department of Transportation,2011,"Challenge to FEIS concerning replacement bridge, including for failing to comply with GHG emissions law.

",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
San Diego Navy Broadway Complex Coalition v. Department of Defense,2011,"Challenge to environmental assessment for upgrading naval facility on grounds that it did not address climate change.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
"Sierra Club, Iowa Chapter v. LaHood",2011,"Challenge to highway extension.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
High Country Conservation Advocates v. United States Forest Service,2013,"Challenge to agency actions in connection with coal mine expansion.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Coalition for the Advancement of Regional Transportation v. Federal Highway Administration,2010,"Challenge to construction and transportation management program to improve mobility across the Ohio River between Kentucky and southern Indiana.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Chesapeake Climate Action Network v. Export-Import Bank of the United States,2013,"Challenge to loan guarantee that allegedly would facilitate sale of $1 billion in coal for export.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
League of Wilderness Defenders/Blue Mountains Biodiversity Project v. Connaughton,2012,"Challenge to vegetation management program in Oregon.
",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
"Hughes v. Talen Energy Marketing, LLC",2012,Challenge to Maryland program that subsidized generation of electricity in the state.,Constitutional Claims>Other Constitutional Claims,Federal Power Act|Supremacy Clause
National Wildlife Federation v. National Marine Fisheries Service,2001,Challenges to reviews of the Federal Columbia River Power System's impacts on salmon and steelhead.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)
WildEarth Guardians v. United States Bureau of Land Management,2014,Challenge to approvals related to development of coal lease in Colorado.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)
Foster v. Washington Department of Ecology,2014,"Challenge to denial of rulemaking petition that asked Department of Ecology to recommend restrictions on greenhouse gas emission to state legislature.
",State Law Claims>Environmentalist Lawsuits|Public Trust Claims,Public Trust Doctrine|State Law—Air Statutes|State Constitutions>Washington State Constitution
Horner v. Rector &amp; Visitors of George Mason University,2015,Action to compel production of professor's records that plaintiff alleged would show professor helped organize a campaign against fossil fuel companies.,Climate Change Protesters and Scientists>Scientists,State Law—Freedom of Information Laws
Kain v. Department of Environmental Protection,2014,Challenge to adequacy of Massachusetts programs to reduce greenhouse gas emissions.,State Law Claims>Environmentalist Lawsuits,Massachusetts Global Warming Solutions Act
Idaho Rivers United v. Probert,2016,Challenge to reviews for timber salvage project on federal lands in Idaho.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|National Forest Management Act (NFMA)|Wild and Scenic Rivers Act
United States Virgin Islands Office of the Attorney General v. ExxonMobil Corp.,2016,United States Virgin Islands Office of the Attorney General sought documents from Competitive Enterprise Institute as part of its investigation of alleged climate change-related fraud on the part of ExxonMobil.,Securities and Financial Regulation,State Law—Fraud
"Panoche Energy Center, LLC v. Pacific Gas &amp; Electric Co.",2013,Action to vacate arbitration award that required electricity producer to pay costs of compliance with California's Global Warming Solutions Act of 2006.,Common Law Claims,Contract Law|California Global Warming Solutions Act (AB 32)
